I, [2016-08-17T11:37:08.358588 #11456]  INFO -- : [31a9814c-aab2-4dd6-81f5-d7fe61630f87] Started GET "/" for 59.172.38.22 at 2016-08-17 11:37:08 +0800
F, [2016-08-17T11:37:08.359889 #11456] FATAL -- : [31a9814c-aab2-4dd6-81f5-d7fe61630f87]   
F, [2016-08-17T11:37:08.359942 #11456] FATAL -- : [31a9814c-aab2-4dd6-81f5-d7fe61630f87] ActionController::RoutingError (No route matches [GET] "/"):
F, [2016-08-17T11:37:08.359978 #11456] FATAL -- : [31a9814c-aab2-4dd6-81f5-d7fe61630f87]   
F, [2016-08-17T11:37:08.360008 #11456] FATAL -- : [31a9814c-aab2-4dd6-81f5-d7fe61630f87] actionpack (5.0.0.1) lib/action_dispatch/middleware/debug_exceptions.rb:53:in `call'
F, [2016-08-17T11:37:08.360069 #11456] FATAL -- : [31a9814c-aab2-4dd6-81f5-d7fe61630f87] actionpack (5.0.0.1) lib/action_dispatch/middleware/show_exceptions.rb:31:in `call'
F, [2016-08-17T11:37:08.360107 #11456] FATAL -- : [31a9814c-aab2-4dd6-81f5-d7fe61630f87] railties (5.0.0.1) lib/rails/rack/logger.rb:36:in `call_app'
F, [2016-08-17T11:37:08.360136 #11456] FATAL -- : [31a9814c-aab2-4dd6-81f5-d7fe61630f87] railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `block in call'
F, [2016-08-17T11:37:08.360163 #11456] FATAL -- : [31a9814c-aab2-4dd6-81f5-d7fe61630f87] activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `block in tagged'
F, [2016-08-17T11:37:08.360189 #11456] FATAL -- : [31a9814c-aab2-4dd6-81f5-d7fe61630f87] activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:26:in `tagged'
F, [2016-08-17T11:37:08.360215 #11456] FATAL -- : [31a9814c-aab2-4dd6-81f5-d7fe61630f87] activesupport (5.0.0.1) lib/active_support/tagged_logging.rb:70:in `tagged'
F, [2016-08-17T11:37:08.360241 #11456] FATAL -- : [31a9814c-aab2-4dd6-81f5-d7fe61630f87] railties (5.0.0.1) lib/rails/rack/logger.rb:24:in `call'
F, [2016-08-17T11:37:08.360273 #11456] FATAL -- : [31a9814c-aab2-4dd6-81f5-d7fe61630f87] actionpack (5.0.0.1) lib/action_dispatch/middleware/request_id.rb:24:in `call'
F, [2016-08-17T11:37:08.360300 #11456] FATAL -- : [31a9814c-aab2-4dd6-81f5-d7fe61630f87] rack (2.0.1) lib/rack/method_override.rb:22:in `call'
F, [2016-08-17T11:37:08.360326 #11456] FATAL -- : [31a9814c-aab2-4dd6-81f5-d7fe61630f87] rack (2.0.1) lib/rack/runtime.rb:22:in `call'
F, [2016-08-17T11:37:08.360351 #11456] FATAL -- : [31a9814c-aab2-4dd6-81f5-d7fe61630f87] activesupport (5.0.0.1) lib/active_support/cache/strategy/local_cache_middleware.rb:28:in `call'
F, [2016-08-17T11:37:08.360377 #11456] FATAL -- : [31a9814c-aab2-4dd6-81f5-d7fe61630f87] actionpack (5.0.0.1) lib/action_dispatch/middleware/executor.rb:12:in `call'
F, [2016-08-17T11:37:08.360402 #11456] FATAL -- : [31a9814c-aab2-4dd6-81f5-d7fe61630f87] rack (2.0.1) lib/rack/sendfile.rb:111:in `call'
F, [2016-08-17T11:37:08.360434 #11456] FATAL -- : [31a9814c-aab2-4dd6-81f5-d7fe61630f87] railties (5.0.0.1) lib/rails/engine.rb:522:in `call'
F, [2016-08-17T11:37:08.360460 #11456] FATAL -- : [31a9814c-aab2-4dd6-81f5-d7fe61630f87] rack (2.0.1) lib/rack/handler/webrick.rb:86:in `service'
F, [2016-08-17T11:37:08.360485 #11456] FATAL -- : [31a9814c-aab2-4dd6-81f5-d7fe61630f87] /home/mybimba/.rvm/rubies/ruby-2.3.1/lib/ruby/2.3.0/webrick/httpserver.rb:140:in `service'
F, [2016-08-17T11:37:08.360511 #11456] FATAL -- : [31a9814c-aab2-4dd6-81f5-d7fe61630f87] /home/mybimba/.rvm/rubies/ruby-2.3.1/lib/ruby/2.3.0/webrick/httpserver.rb:96:in `run'
